RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
7797,Waxahachie,Texas,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182400,187e3,189600,192800,194400,198100,199900,202900,201100,192500,193900,193800,202400,201200,208800,216900,224600,241800,234600,227600,212200,213200,216100,215400,226e3,225700
31636,Franconia,Virginia,744,395700,381300,373700,378400,371200,38e4,355300,361900,343200,349500,353400,357100,354500,352900,353900,372400,376600,380200,372500,358800,358e3,344900,374600,368200,381300,360400,362800,357500,349600,353500,359500,358300,363100,358400,364300,352700,354300,331200,337300,332800,356e3,366100,372100,357100,347900,356300,391700,396300,389800,379100,392700,405800,396400,386100,375500,382300,385900,398700,386e3,372300,356300,378100,389500,407400,404800,408400,398200,403600,397400,410500,408e3,414700,408200,404600,403300,396700,392800,396800,407300,415300,407600,410400,424800,438400,420400,407e3,406400,413700,408600,401100,410600,406900,422900,415400,416100,409400,417500,420400,409900,410400,416200,424400,417700,413400,420800,414500,420400,409800,427100,417900,423300,407100,409600,405300,397600,406200,399200,426500,,,,,,
30583,Brentwood,Tennessee,745,512500,516200,529100,514300,512200,501800,497700,488400,536200,509700,489400,422100,467300,507600,508200,472500,451900,458200,451500,439200,435e3,44e4,484300,542e3,562700,526500,454200,455600,462900,485900,469100,453600,497200,495400,51e4,449500,459200,465100,468200,454400,446800,458200,462500,472600,481500,479400,488500,491e3,509200,502e3,475200,476e3,460300,468500,434500,432200,430300,444200,459e3,489e3,496e3,489800,477400,486400,502700,503800,510400,485900,517200,502100,531900,509e3,533200,535100,536300,538100,536900,538300,532800,522500,524700,530500,581500,583800,585100,559400,587200,578400,562100,536500,549600,567e3,567500,566400,565e3,587100,580800,587e3,575e3,594600,598100,605200,608700,606400,611300,614800,616900,614400,613200,614e3,612500,603600,614300,623e3,627400,591800,585300,609700,665700,707400,680600,644700,619100,642300
32262,Kannapolis,North Carolina,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86300,92e3,83e3,66800,76900,78800,87900,82700,85400,90100,94100,100200,96300,90300,81300,84200,84400,82800,76500,78e3,80200,86300,81600,79700,78600,85800,96200,95500,94300,91700,97400,98500,97300,90400,8e4,78300,87e3,98700,100200,96500,98200,104800,113300,112100,111700,104600,112e3,115700,114400,109800,11e4,116100,111600,107200,99e3,107400,114200,119300,121600,119800,117200,113700,108900,114200,114400,121600,132400,134700
7045,Shelton,Connecticut,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292e3,288400,285800,282400,275400,290800,298500,307100,269700,272500,267400,300300,301800,296e3,287300,289400,286900,282900,279600,287500,293800,275100,269300,278900,313100,310100,297700,289100,301300,308900,313300,343200,313500,308800,254900,273200,255900,285e3,296800,307500,287800,277300,278700,304900,302400,307100,285800,292200,290200,297200,299100,304900,313700,319700,317900,306500,308e3,309800,316300,303600,303500,305e3,305500,285900,274600,294900,308e3,351600,326700,325900,302200,311600,327800,327100
11340,Essex,Maryland,748,183300,179300,177500,165500,162300,162200,163300,173100,178e3,180400,174200,178200,174900,194500,188900,174500,159200,154200,164200,156800,166900,169900,173200,169200,160700,163e3,158800,161400,141800,137e3,129700,142200,133800,150600,145e3,151500,138900,146e3,148400,143200,131800,123100,13e4,134900,133e3,119500,118200,114600,129300,132300,144500,140600,129600,126300,132100,144600,139200,145300,150100,152400,141600,138500,143e3,142600,157100,157400,155400,129600,118700,119800,117700,110100,111100,120100,136e3,140900,140900,141400,141800,146700,148900,144800,140200,148100,149700,148400,149900,150700,156900,159e3,159400,159100,167400,163200,142900,133100,14e4,158100,156500,149800,152100,145300,145200,146200,150100,156100,156100,149400,140500,149900,145800,153300,150500,165600,180400,178600,193600,188e3,173e3,162900,161800,185300,180300,172600
17163,Brighton,Colorado,749,166100,154700,156400,154800,155200,149800,153700,155400,164500,162700,168600,155800,158e3,158900,167100,162800,158500,154100,157500,160900,164200,153900,153e3,152900,168100,169700,169300,161600,160800,156300,157e3,156e3,153600,148300,145600,148100,151900,148900,146e3,153100,142200,145300,132900,145400,141100,146e3,150300,157900,163800,165900,169400,171e3,168e3,173300,170700,175700,168200,167900,172700,177400,196200,197700,207500,199500,204800,206600,206600,207200,207800,216700,222100,228900,226300,226600,218300,221500,224300,228400,230300,231e3,239800,239700,239600,232500,234700,247100,252600,261500,252500,258400,258e3,259200,263500,266500,274e3,277600,287100,290400,291800,287200,287e3,291100,298500,307800,305100,304500,299400,311100,317200,326800,331400,321600,321900,313700,314600,317300,326800,337700,355300,357400,365400,351600,342100,325900
32532,Little Elm,Texas,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185600,187e3,184e3,183800,184200,186400,186400,188200,188200,191700,193400,194800,194200,195700,199600,200800,195500,203700,206800,213e3,205700,211500,215400,218200,219600,218e3,225300,224500,230800,226700,227400,228600,233800,235200,234e3,231600,228700,233300,232800,239400,239200,244400,244600,251500,251400,251300,251800,263200,271900,274900,279400,284400,279800,272400,266e3,265900,266300,265900,273200,276600
26329,Oro Valley,Arizona,751,289100,292e3,292100,280900,282800,281600,261500,252500,249700,262800,269e3,278500,277e3,257e3,241100,245500,260700,268200,259400,252800,249600,253300,245800,245700,251500,258900,258200,251900,252300,257900,254e3,248500,229900,239300,233800,246e3,233400,235500,228700,227900,224800,217700,211800,205700,219600,225600,229600,215600,214800,218500,223300,219700,225500,224100,230600,232100,233100,23e4,228300,229300,232900,231600,232700,237e3,234200,249200,246600,252600,246700,246500,249600,251800,249600,248900,242700,244700,243300,246800,251400,243500,240400,24e4,242300,252600,252100,255900,252200,270800,276500,271e3,242700,247200,243400,256500,253100,258800,262200,262900,267700,263900,267100,267e3,266100,261700,263e3,265500,265900,264600,265e3,269700,272100,275900,269400,265500,272400,277100,285100,281900,279300,283700,283600,297e3,302600,302100
30450,Beverly,Massachusetts,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332300,318500,317500,332600,347500,353300,354e3,346300,350100,346900,348500,347700,355700,349100,345300,333800,338500,338500,326700,330600,332700,339200,342e3,344100,363900,366e3,393e3,392400,384600,375500,373400,365100,354600,360700,380500,378e3,372300,388500,403500,413200,41e4,405e3,419e3,422900,435900,426600,416900,404400,401e3,413800,416400,439e3,42e4,402500,397100,408300,437100,417400
51370,Chelsea,Massachusetts,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217600,210500,212600,211600,210900,208500,229800,230500,229900,240200,250300,251e3,236600,234900,254400,226900,231600,237e3,255e3,257600,248900,250700,241e3,262600,261900,277500,244200,264e3,271e3,280300,275900,283500,299900,305600,298800,314e3,313100,320800,298400,289600,271900,281e3,294200,302700,303600,321100,314300,342600,326200,313500,292800,285900,316600
