"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11","1,131.42","1,219.12","1,229.29","1,114.22","-","-7.18%"
"Aug 11","1,218.89","1,292.59","1,307.38","1,101.54","-","-5.68%"
"Jul 11","1,292.28","1,320.64","1,356.48","1,282.86","-","-2.15%"
"Jun 11","1,320.64","1,345.20","1,345.20","1,258.07","-","-1.83%"
"May 11","1,345.20","1,365.21","1,370.58","1,311.80","-","-1.35%"
"Apr 11","1,363.61","1,329.48","1,364.56","1,294.70","-","2.85%"
"Mar 11","1,325.83","1,328.64","1,332.28","1,249.05","-","-0.10%"
"Feb 11","1,327.22","1,289.14","1,344.07","1,289.14","-","3.20%"
"Jan 11","1,286.12","1,257.62","1,302.67","1,257.62","-","2.26%"
"Dec 10","1,257.64","1,186.60","1,262.60","1,186.60","-","6.53%"
"Nov 10","1,180.55","1,185.71","1,227.08","1,173.00","-","-0.23%"
"Oct 10","1,183.26","1,143.49","1,196.14","1,131.87","-","3.69%"
"Sep 10","1,141.20","1,049.72","1,157.16","1,049.72","-","8.76%"
"Aug 10","1,049.33","1,107.53","1,129.24","1,039.70","-","-4.74%"
"Jul 10","1,101.60","1,031.10","1,120.95","1,010.91","-","6.88%"
"Jun 10","1,030.71","1,087.30","1,131.23","1,028.33","-","-5.39%"
"May 10","1,089.41","1,188.58","1,205.13","1,040.78","-","-8.20%"
"Apr 10","1,186.69","1,171.23","1,219.80","1,170.69","-","1.48%"
"Mar 10","1,169.43","1,105.36","1,180.69","1,105.36","-","5.88%"
"Feb 10","1,104.49","1,073.89","1,112.42","1,044.50","-","2.85%"
"Jan 10","1,073.87","1,116.56","1,150.45","1,071.59","-","-3.70%"
"Dec 09","1,115.10","1,098.89","1,130.38","1,085.89","-","1.78%"
"Nov 09","1,095.63","1,036.18","1,113.69","1,029.38","-","5.74%"
"Oct 09","1,036.19","1,054.91","1,101.36","1,019.95","-","-1.98%"
"Sep 09","1,057.08","1,019.52","1,080.15","991.97","-","3.57%"
"Aug 09","1,020.62","990.22","1,039.47","978.51","-","3.36%"
"Jul 09","987.48","920.82","996.68","869.32","-","7.41%"
"Jun 09","919.32","923.26","956.23","888.86","-","0.02%"
"May 09","919.14","872.74","930.17","866.10","-","5.31%"
"Apr 09","872.81","793.59","888.70","783.32","-","9.39%"
"Mar 09","797.87","729.57","832.98","666.79","-","8.54%"
"Feb 09","735.09","823.09","875.01","734.52","-","-10.99%"
"Jan 09","825.88","902.99","943.85","804.30","-","-8.57%"
"Dec 08","903.25","888.61","918.85","815.69","-","0.78%"
"Nov 08","896.24","968.67","1,007.51","741.02","-","-7.48%"
"Oct 08","968.75","1,164.17","1,167.03","839.80","-","-16.94%"
"Sep 08","1,166.36","1,287.83","1,303.04","1,106.39","-","-9.08%"
"Aug 08","1,282.83","1,269.42","1,313.15","1,247.45","-","1.22%"
"Jul 08","1,267.38","1,276.69","1,292.17","1,200.44","-","-0.99%"
"Jun 08","1,280.00","1,399.62","1,404.05","1,272.00","-","-8.60%"
"May 08","1,400.38","1,385.97","1,440.24","1,373.07","-","1.07%"
"Apr 08","1,385.59","1,326.41","1,404.57","1,324.35","-","4.75%"
"Mar 08","1,322.70","1,330.45","1,359.68","1,256.98","-","-0.60%"
"Feb 08","1,330.63","1,378.60","1,396.02","1,316.75","-","-3.48%"
"Jan 08","1,378.55","1,467.97","1,471.77","1,270.05","-","-6.12%"
"Dec 07","1,468.36","1,479.63","1,523.57","1,435.65","-","-0.86%"
"Nov 07","1,481.14","1,545.79","1,545.79","1,406.10","-","-4.40%"
"Oct 07","1,549.38","1,527.29","1,576.09","1,489.56","-","1.48%"
"Sep 07","1,526.75","1,473.96","1,538.74","1,439.29","-","3.58%"
"Aug 07","1,473.99","1,455.18","1,503.89","1,370.60","-","1.29%"
"Jul 07","1,455.27","1,504.66","1,555.90","1,454.25","-","-3.20%"
"Jun 07","1,503.35","1,530.62","1,540.56","1,484.18","-","-1.78%"
"May 07","1,530.62","1,482.37","1,535.56","1,476.70","-","3.25%"
"Apr 07","1,482.37","1,420.83","1,498.02","1,416.37","-","4.33%"
"Mar 07","1,420.86","1,406.80","1,438.89","1,363.98","-","1.00%"
"Feb 07","1,406.82","1,437.90","1,461.57","1,389.42","-","-2.18%"
"Jan 07","1,438.24","1,418.03","1,441.61","1,403.97","-","1.41%"
"Dec 06","1,418.30","1,400.63","1,431.81","1,385.93","-","1.26%"
"Nov 06","1,400.63","1,377.76","1,407.89","1,360.98","-","1.65%"
"Oct 06","1,377.94","1,335.82","1,389.45","1,327.10","-","3.15%"
"Sep 06","1,335.85","1,303.80","1,340.28","1,290.93","-","2.46%"
"Aug 06","1,303.82","1,278.53","1,306.74","1,261.30","-","2.13%"
"Jul 06","1,276.66","1,270.06","1,280.42","1,224.54","-","0.51%"
"Jun 06","1,270.20","1,270.05","1,290.68","1,219.29","-","0.01%"
"May 06","1,270.09","1,310.61","1,326.70","1,245.34","-","-3.09%"
"Apr 06","1,310.61","1,302.88","1,318.16","1,280.74","-","1.22%"
"Mar 06","1,294.83","1,280.66","1,310.88","1,268.42","-","1.11%"
"Feb 06","1,280.66","1,280.08","1,297.57","1,253.61","-","0.05%"
"Jan 06","1,280.08","1,248.29","1,294.90","1,245.74","-","2.55%"
"Dec 05","1,248.29","1,249.48","1,275.80","1,246.59","-","-0.10%"
"Nov 05","1,249.48","1,207.01","1,270.64","1,201.07","-","3.52%"
"Oct 05","1,207.01","1,228.81","1,233.34","1,168.20","-","-1.77%"
"Sep 05","1,228.81","1,220.33","1,243.13","1,205.35","-","0.69%"
"Aug 05","1,220.33","1,234.18","1,245.86","1,201.07","-","-1.12%"
"Jul 05","1,234.18","1,191.33","1,245.15","1,183.55","-","3.60%"
"Jun 05","1,191.33","1,191.50","1,219.59","1,188.30","-","-0.01%"
"May 05","1,191.50","1,156.85","1,199.56","1,146.18","-","3.00%"
"Apr 05","1,156.85","1,180.59","1,191.88","1,136.15","-","-2.01%"
"Mar 05","1,180.59","1,203.60","1,229.11","1,163.69","-","-1.91%"
"Feb 05","1,203.60","1,181.27","1,212.44","1,180.95","-","1.89%"
"Jan 05","1,181.27","1,211.92","1,217.90","1,163.75","-","-2.53%"
"Dec 04","1,211.92","1,173.78","1,217.33","1,173.76","-","3.25%"
"Nov 04","1,173.82","1,130.20","1,188.46","1,127.53","-","3.86%"
"Oct 04","1,130.20","1,114.58","1,142.05","1,090.19","-","1.40%"
"Sep 04","1,114.58","1,104.24","1,131.54","1,099.11","-","0.94%"
"Aug 04","1,104.24","1,101.72","1,109.68","1,060.72","-","0.23%"
"Jul 04","1,101.72","1,140.84","1,140.84","1,078.78","-","-3.43%"
"Jun 04","1,140.84","1,120.68","1,146.34","1,113.32","-","1.80%"
"May 04","1,120.68","1,107.30","1,127.74","1,076.32","-","1.21%"
"Apr 04","1,107.30","1,126.21","1,150.57","1,107.23","-","-1.68%"
"Mar 04","1,126.21","1,144.94","1,163.23","1,087.06","-","-1.64%"
"Feb 04","1,144.94","1,131.13","1,158.98","1,124.44","-","1.22%"
"Jan 04","1,131.13","1,111.92","1,155.38","1,105.08","-","1.73%"
"Dec 03","1,111.92","1,058.20","1,112.56","1,053.41","-","5.08%"
"Nov 03","1,058.20","1,050.71","1,063.65","1,031.20","-","0.71%"
"Oct 03","1,050.71","995.97","1,053.79","995.97","-","5.50%"
"Sep 03","995.97","1,008.01","1,040.29","990.36","-","-1.19%"
"Aug 03","1,008.01","990.31","1,011.01","960.84","-","1.48%"
"Jul 03","993.32","974.50","1,015.41","962.10","-","1.93%"
"Jun 03","974.50","963.59","1,015.33","963.59","-","1.13%"
"May 03","963.59","916.92","965.38","902.83","-","5.09%"
"Apr 03","916.92","848.18","924.24","847.85","-","8.10%"
"Mar 03","848.18","841.15","895.90","788.90","-","0.84%"
"Feb 03","841.15","855.70","864.64","806.29","-","-1.70%"
"Jan 03","855.70","879.82","935.05","840.34","-","-2.74%"
"Dec 02","879.82","936.31","954.28","869.45","-","-6.03%"
"Nov 02","936.31","885.76","941.82","872.05","-","5.71%"
"Oct 02","885.76","815.28","907.44","768.63","-","8.64%"
"Sep 02","815.28","916.07","924.02","800.20","-","-11.00%"
"Aug 02","916.07","911.62","965.00","833.44","-","0.49%"
"Jul 02","911.62","989.82","994.46","775.68","-","-7.90%"
"Jun 02","989.82","1,067.14","1,070.74","952.92","-","-7.25%"
"May 02","1,067.14","1,076.92","1,106.59","1,048.96","-","-0.91%"
"Apr 02","1,076.92","1,147.39","1,147.84","1,063.46","-","-6.14%"
"Mar 02","1,147.39","1,106.73","1,173.94","1,106.73","-","3.67%"
"Feb 02","1,106.73","1,130.20","1,130.20","1,074.36","-","-2.08%"
"Jan 02","1,130.20","1,148.08","1,176.97","1,081.66","-","-1.56%"
"Dec 01","1,148.08","1,139.45","1,173.62","1,114.53","-","0.76%"
"Nov 01","1,139.45","1,059.78","1,163.38","1,054.31","-","7.52%"
"Oct 01","1,059.78","1,040.94","1,110.61","1,026.76","-","1.81%"
"Sep 01","1,040.94","1,133.58","1,155.40","944.75","-","-8.17%"
"Aug 01","1,133.58","1,211.23","1,226.27","1,124.87","-","-6.41%"
"Jul 01","1,211.23","1,224.42","1,239.78","1,165.54","-","-1.07%"
"Jun 01","1,224.38","1,255.82","1,286.62","1,203.03","-","-2.50%"
"May 01","1,255.82","1,249.46","1,315.93","1,232.00","-","0.51%"
"Apr 01","1,249.46","1,160.33","1,269.30","1,091.99","-","7.68%"
"Mar 01","1,160.33","1,239.94","1,267.42","1,081.19","-","-6.42%"
"Feb 01","1,239.94","1,366.01","1,376.38","1,215.44","-","-9.23%"
"Jan 01","1,366.01","1,320.28","1,383.37","1,274.62","-","3.46%"
"Dec 00","1,320.28","1,314.95","1,389.05","1,254.07","-","0.41%"
"Nov 00","1,314.95","1,429.40","1,438.46","1,294.90","-","-8.01%"
"Oct 00","1,429.40","1,436.52","1,454.82","1,305.79","-","-0.49%"
"Sep 00","1,436.51","1,517.68","1,530.09","1,419.44","-","-5.35%"
"Aug 00","1,517.68","1,430.83","1,525.21","1,425.43","-","6.07%"
"Jul 00","1,430.83","1,454.60","1,517.32","1,413.89","-","-1.63%"
"Jun 00","1,454.60","1,420.60","1,488.93","1,420.60","-","2.39%"
"May 00","1,420.60","1,452.43","1,481.51","1,361.09","-","-2.19%"
"Apr 00","1,452.43","1,498.58","1,527.19","1,339.40","-","-3.08%"
"Mar 00","1,498.58","1,366.42","1,552.87","1,346.62","-","9.67%"
"Feb 00","1,366.42","1,394.46","1,444.55","1,325.07","-","-2.01%"
"Jan 00","1,394.46","1,469.25","1,478.00","1,350.14","-","-5.09%"
"Dec 99","1,469.25","1,388.91","1,473.10","1,387.38","-","5.78%"
"Nov 99","1,388.91","1,362.93","1,425.31","1,346.41","-","1.91%"
"Oct 99","1,362.93","1,282.71","1,373.17","1,233.70","-","6.25%"
"Sep 99","1,282.71","1,320.41","1,361.39","1,256.26","-","-2.86%"
"Aug 99","1,320.41","1,328.72","1,382.84","1,267.73","-","-0.63%"
"Jul 99","1,328.72","1,372.71","1,420.33","1,328.49","-","-3.20%"
"Jun 99","1,372.71","1,301.84","1,372.93","1,277.47","-","5.44%"
"May 99","1,301.84","1,335.18","1,375.98","1,277.31","-","-2.50%"
"Apr 99","1,335.18","1,286.37","1,371.56","1,282.56","-","3.79%"
"Mar 99","1,286.37","1,238.33","1,323.82","1,216.03","-","3.88%"
"Feb 99","1,238.33","1,279.64","1,283.84","1,211.89","-","-3.23%"
"Jan 99","1,279.64","1,229.23","1,280.37","1,205.46","-","4.10%"
