RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
394807,"Louisville-Jefferson County, KY",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132700,130100,128200,126700,126600,129300,130800,131400,132700,134100,135e3,134e3,130700,131700,130700,136900,140600,146500,148e3,149600,149e3,147100,146e3,148600,151500,155500,156200,156800,151100,150800,151800,155800,157e3,157800,160300,160400,159200,158400,159700,162200,161e3,160400,160100,160700,162300,161200,163900,166600,168700,172e3,170400,175200,169700,169700,167200,170200
394669,"Hartford, CT",40,236400,233200,225600,215600,211e3,211400,212800,213300,217e3,216900,215300,213e3,216300,215300,211500,206500,206900,204700,203e3,202e3,208400,214900,218600,221e3,224400,222900,218e3,208900,208800,209200,207900,210900,220100,231800,233800,225900,220700,219400,217800,212100,208400,204e3,206400,204500,209900,207e3,207100,202700,203600,201300,204600,204200,208200,204400,200700,201700,203200,211e3,208600,203900,198400,199800,204500,207100,207400,209100,208700,209e3,208800,208100,21e4,211300,211600,207400,203700,201800,203400,203900,204500,200600,204e3,203600,199800,193400,194900,199200,200200,199900,199100,199e3,198100,197800,198400,199e3,199700,205300,205900,207800,207500,208600,206900,203800,207200,210100,209700,206300,205700,206100,205700,203600,204300,204700,208100,207800,207e3,206500,209900,211600,211900,212700,219600,224e3,224e3,218200
395022,"Richmond, VA",41,213100,212e3,205900,201400,2e5,199900,198400,197800,195800,197200,194e3,200600,197800,196400,188700,185800,182900,181e3,183600,188100,190600,192100,192800,196400,192900,191700,184400,179500,173200,175500,177600,178300,177800,177e3,179800,178400,178600,175700,168900,164400,162800,165600,169900,169200,169600,171400,169200,169e3,164700,169100,167700,169500,170600,169900,170100,167600,173e3,176900,178800,177500,174200,175300,176700,180300,180600,182900,182400,184e3,179300,179200,179500,182300,182600,182300,182e3,183900,185500,187700,188400,189e3,189900,194600,194600,199400,195700,195800,195700,195300,197300,194700,194800,193600,193800,196700,200900,203500,203700,201900,201200,201100,201600,200900,201400,202200,207300,208e3,208900,210900,212900,215e3,211300,209700,208100,206700,207200,207400,214600,223800,229300,232700,232400,235500,232100,227900
394910,"New Orleans, LA",42,144600,146600,152500,152800,156e3,157500,159100,154600,148600,146100,147500,151800,152500,152e3,152200,154600,158900,160400,161500,161500,161500,158900,157700,153200,155600,156200,159600,156900,153600,150700,149900,154800,157500,161900,157900,155600,144600,137800,135e3,141100,143600,146700,146700,146200,146200,142900,141900,138300,137900,14e4,142200,147400,147e3,150500,151500,155700,154e3,151500,154200,153700,154500,155600,159400,161800,161600,161900,163e3,163100,162900,160800,159300,158900,162700,162600,162700,163700,165e3,166800,165500,165600,168100,169900,167800,167600,168600,172700,173200,172700,173700,173300,174800,175300,174700,175300,175600,177800,177100,177400,179400,181500,182e3,181e3,181300,182e3,182100,181600,184200,181300,181100,180100,183200,183100,183900,185900,187800,187800,185600,187800,188900,193e3,19e4,191400,191800,199200
394425,"Buffalo, NY",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121e3,121900,122500,122500,122500,120800,123900,122e3,123100,121300,123700,124400,125e3,124e3,123600,127100,131100,132300,128400,124700,125700,128e3,128300,128100,128200,129900,130300,132200,134300,136100,135200,135300,135700,136200,134400,136500,137100,139e3,138100,141600,146100,148500,145e3,138100,121200
395012,"Raleigh, NC",44,186400,183200,181800,182800,184800,185300,181100,182500,177100,177e3,181300,188700,194800,186300,180800,173300,174800,177300,178300,178700,179600,181900,192300,190400,193200,185900,184900,187400,188700,192300,192600,193200,198200,196700,200100,197800,198e3,192600,190500,193200,193700,199200,192300,191700,184500,190300,189200,192700,191800,193800,190500,189600,189400,190600,188900,183400,186900,188700,197100,195e3,195500,195200,196400,194600,195200,195800,199600,201700,200800,200700,199400,200400,200900,198200,201400,200300,203500,199300,199300,199100,200700,199800,201e3,204200,215300,219e3,225200,226e3,228200,226900,224900,226700,228300,230600,232400,232e3,231700,230600,231300,232900,233100,232500,233500,233400,234700,232800,233900,234200,235900,237700,237100,236400,235100,234e3,232100,234600,237100,239700,242400,252200,262100,264700,260200,256200
394388,"Birmingham, AL",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133300,133e3,126600,123100,126600,137500,140700,139300,133300,132800,134800,134400,133800,131200,128800,123100,122e3,125100,131400,134400,134200,140800,140500,139900,135900,140500,143500,143400,141500,142300,139900,138700,139e3,139500,140700,140300,141100,142400,142600,147400,147700,146700,138400,133900,136900,145900,150800,153900,155500,158200,159500,158700,157100,156200,155300,156800,162900,166200,167200,164700,180700,190100,185500,172700,
395053,"Salt Lake City, UT",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224100,231500,231e3,231800,227300,227500,224900,229800,230300,237600,236800,233300,227800,226900,234400,237500,239600,242500,244100,244900,242800,238900,240900,241300,245800,246900,248400,249600,252500,253700,256300,256600,257100,258800,258600,259400,261200,263400,265100,262700,264400,267300,270600,271400,274800,277800,281700,283600,285700,287200,287e3,283100,281900,289800,300900,305700,307700,313600,317100,315900,312700,313900
395031,"Rochester, NY",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114600,117e3,119e3,12e4,123400,120700,117700,113e3,113900,113700,115300,115200,117800,119400,123800,124400,125100,122800,123900,121500,12e4,118400,118800,120600,122400,125900,126300,125900,124700,122700,123300,120800,121500,120400,122200,123900,124500,124300,123900,123500,123e3,124400,123200,120200,118200,118700,121200,119100,120200,121100,125600,124200,125e3,121600,121100,119100,119600,122500,124e3,126300,125300,125300,124700,125900,124900,132700,137700,147200,148900,147200,143e3,142700,143700,144900,143600,147700,148800,149400,147400,151200,153500,151100,141800,133400,130600,132500,131300,131800,131e3,130700,128400,126300,,
394640,"Grand Rapids, MI",48,123400,117900,118500,114900,113400,110100,106500,105100,104800,99e3,94900,87900,87800,82700,82e3,79300,85200,89100,94700,97e3,97900,98500,99e3,97400,99900,99700,102500,100300,96200,90700,88100,87900,90100,93100,96700,97300,93100,90400,91400,95500,98e3,98e3,93400,91800,94900,100200,100500,94600,93800,96100,102800,105700,106200,105200,103500,106e3,109e3,112e3,110900,112300,114800,118200,119200,118300,116900,118700,119900,122100,120300,120400,119700,122300,122700,124600,124700,127500,130600,131500,132900,131700,133300,132300,134800,134100,135900,136700,137800,139100,140300,141900,141700,142200,142700,145400,146300,149100,148100,148100,148e3,149400,150300,149e3,150400,153500,158e3,160700,162400,162900,165600,168e3,170400,169100,166100,164400,165200,166800,171600,172400,177900,178900,183700,183600,186e3,185300
